query_id,target_id,pair_cosine_similarity,judge_helpfulness_score,query_class,query_team,target_class,target_team,global_target_lift_laplace,global_target_lift_accum,class_target_lift_laplace,class_target_lift_accum,source_file
R-3,R-198,0.001157,0.456502,other,(GI-SaaS) Salesforce,vpn_request,(GI-UX) Group,-0.029034,-0.020851,-0.028914,-0.015655,test_results_api_20251130_123036.json
R-8,R-71,0.125269,1.0,other,(GI-UX) Account Management,other,(GI-UX) Windows,-0.039066,-0.082697,-0.01743,-0.025683,test_results_api_20251130_123036.json
R-10,R-88,0.260874,0.569286,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,0.131304,0.149997,0.13249,0.149938,test_results_api_20251130_123036.json
R-12,R-175,0.897927,0.361857,other,(GI-UX) Network Access,other,(GI-IaaS) Admin - License & Asset Management,-0.076855,-0.139755,-0.078414,-0.125676,test_results_api_20251130_123036.json
R-14,R-126,0.429888,0.519578,other,(GI-SaaS) Salesforce,admin_rights,(GI-UX) Group,0.13176,0.15,0.132462,0.149992,test_results_api_20251130_123036.json
R-15,R-149,-0.00482,1.0,vpn_request,(GI-UX) Group,admin_rights,(BF) Information Security Office,0.135917,0.149981,0.131634,0.139303,test_results_api_20251130_123036.json
R-15,R-178,0.341896,0.667817,vpn_request,(GI-UX) Group,admin_rights,(LF) IT Office Access Italy,0.127868,0.149966,0.134109,0.148965,test_results_api_20251130_123036.json
R-15,R-205,0.065718,0.633654,vpn_request,(GI-UX) Group,admin_rights,(GI-UX) Group,0.136459,0.149695,0.138058,0.132843,test_results_api_20251130_123036.json
R-17,R-92,-4.5e-05,0.34256,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,-0.023419,-0.01207,-0.00906,-0.003542,test_results_api_20251130_123036.json
R-19,R-226,0.158901,0.646973,other,(GI-IaaS) Backend Application Srv. & Project Support,admin_rights,(BF) Information Security Office,0.131185,0.149998,0.131698,0.14995,test_results_api_20251130_123036.json
R-21,R-220,0.079126,0.423535,other,(GI-IaaS) Development Platform,admin_rights,(GI-IaaS) Admin - License & Asset Management,-0.073139,-0.08095,-0.065691,-0.044299,test_results_api_20251130_123036.json
R-26,R-128,0.196184,0.568078,other,(GI-IaaS) Backend Application Srv. & Project Support,vpn_request,(GI-UX) Account Management,0.012331,-0.002336,0.024739,0.00723,test_results_api_20251130_123036.json
R-27,R-206,0.122836,0.544571,other,(BF) Information Security Office,other,(BF) Purchasing Italy,0.1341,0.149982,0.132269,0.149815,test_results_api_20251130_123036.json
