query_id,target_id,pair_cosine_similarity,judge_helpfulness_score,query_class,query_team,target_class,target_team,global_target_lift_laplace,global_target_lift_accum,class_target_lift_laplace,class_target_lift_accum,source_file
R-8,R-71,0.125269,1.0,other,(GI-UX) Account Management,other,(GI-UX) Windows,-0.039066,-0.082697,-0.01743,-0.025683,test_results_api_20251130_123036.json
R-10,R-88,0.260874,0.569286,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,0.131304,0.149997,0.13249,0.149938,test_results_api_20251130_123036.json
R-12,R-175,0.897927,0.361857,other,(GI-UX) Network Access,other,(GI-IaaS) Admin - License & Asset Management,-0.076855,-0.139755,-0.078414,-0.125676,test_results_api_20251130_123036.json
R-17,R-92,-4.5e-05,0.34256,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,-0.023419,-0.01207,-0.00906,-0.003542,test_results_api_20251130_123036.json
R-27,R-206,0.122836,0.544571,other,(BF) Information Security Office,other,(BF) Purchasing Italy,0.1341,0.149982,0.132269,0.149815,test_results_api_20251130_123036.json
R-34,R-183,0.20492,0.38483,other,(GI-SaaS) Salesforce,other,(GI-IaaS) Development Platform,-0.028132,-0.005915,-0.015557,-0.004155,test_results_api_20251130_123036.json
R-34,R-132,0.478123,0.383945,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_123036.json
R-42,R-34,0.305607,0.708,other,(GI-UX) Application,other,(GI-SaaS) Salesforce,0.12955,0.149868,0.133995,0.149512,test_results_api_20251130_123036.json
R-44,R-44,1.0,0.465085,vpn_request,(GI-UX) Network Access,vpn_request,(GI-UX) Network Access,-0.052621,-0.034281,-0.032575,-0.006131,test_results_api_20251130_123036.json
R-45,R-127,0.196877,0.573976,other,(GI-UX) Group,other,(BF) Employee Platform (SAP SF),-0.016002,-0.009217,-4e-06,0.001693,test_results_api_20251130_123036.json
R-47,R-57,0.507015,0.266075,other,(GI-UX) Group,other,(GI-SaaS) Salesforce,-0.067393,-0.057564,-0.062981,-0.0506,test_results_api_20251130_123036.json
R-52,R-92,0.149047,0.531045,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,-0.023419,-0.01207,-0.00906,-0.003542,test_results_api_20251130_123036.json
R-53,R-132,0.294864,0.732197,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_123036.json
R-54,R-14,0.3714,0.377568,other,(GI-UX) Network Access,other,(GI-SaaS) Salesforce,-0.033732,-0.034574,-0.042484,-0.038945,test_results_api_20251130_123036.json
R-55,R-88,0.164953,0.555827,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,0.131304,0.149997,0.13249,0.149938,test_results_api_20251130_123036.json
R-56,R-159,0.412489,0.426136,other,(GI-IaaS) Admin - License & Asset Management,other,(GI-SaaS) Salesforce,-0.036257,-0.007327,-0.04639,-0.004893,test_results_api_20251130_123036.json
R-57,R-34,0.176649,0.558699,other,(GI-SaaS) Salesforce,other,(GI-SaaS) Salesforce,0.12955,0.149868,0.133995,0.149512,test_results_api_20251130_123036.json
R-59,R-206,0.356489,0.67135,other,(GI-IaaS) Admin - License & Asset Management,other,(BF) Purchasing Italy,0.1341,0.149982,0.132269,0.149815,test_results_api_20251130_123036.json
R-64,R-98,0.041269,0.462326,other,(GI-UX) Application,other,(GI-IaaS) Development Platform,-0.021084,-0.003956,0.001357,0.00261,test_results_api_20251130_123036.json
R-64,R-132,0.546373,0.446978,other,(GI-UX) Application,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_123036.json
R-69,R-175,0.423423,0.436217,other,(GI-UX) Group,other,(GI-IaaS) Admin - License & Asset Management,-0.076855,-0.139755,-0.078414,-0.125676,test_results_api_20251130_123036.json
